ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,VPH_PISODT,VPH_PISOTI,PROM_OCUP,P_TOTAL,P15PRI_IN,P15PRI_CO,P15SEC_CO,P15SEC_IN,P18YM_PB
19,Nuevo León,000,Total de la entidad Nuevo León,0000,Total de la Entidad,1147152,23952,3.85,4653458,267377,431639,865327,149693,1341125
19,Nuevo León,000,Total de la entidad Nuevo León,9998,Localidades de una vivienda,2176,253,*,8764,1900,1709,1398,354,756
19,Nuevo León,000,Total de la entidad Nuevo León,9999,Localidades de dos viviendas,1240,184,*,4658,1079,861,584,155,297
19,Nuevo León,001,Abasolo,0000,Total del Municipio,695,13,3.80,2791,242,309,596,152,420
19,Nuevo León,001,Abasolo,9998,Localidades de una vivienda,6,0,*,35,2,3,4,2,3
19,Nuevo León,001,Abasolo,9999,Localidades de dos viviendas,3,0,*,8,0,2,1,0,1
19,Nuevo León,001,Abasolo,0001,Abasolo,500,2,3.77,1976,188,190,403,119,344
19,Nuevo León,001,Abasolo,0008,La Gloria,*,*,*,7,*,*,*,*,*
19,Nuevo León,001,Abasolo,0009,Los Ligeros,*,*,*,3,*,*,*,*,*
19,Nuevo León,001,Abasolo,0011,La Muralla,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0021,Abasolo,5,0,4.40,22,0,3,4,1,2
19,Nuevo León,001,Abasolo,0025,Casa Rosa (Los Olivos),*,*,*,6,*,*,*,*,*
19,Nuevo León,001,Abasolo,0033,Yamallel,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0036,Los Lozano,*,*,*,2,*,*,*,*,*
19,Nuevo León,001,Abasolo,0037,La Placeta,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0040,Cuatro Vientos,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0042,Los Diez (La Tripona),*,*,*,5,*,*,*,*,*
19,Nuevo León,001,Abasolo,0044,Las Palmas,*,*,*,4,*,*,*,*,*
19,Nuevo León,001,Abasolo,0046,Colinas del Fraile,3,4,4.43,34,2,6,5,1,2
19,Nuevo León,001,Abasolo,0047,Alberto Villarreal,178,7,3.83,716,50,105,179,29,68
19,Nuevo León,002,Agualeguas,0000,Total del Municipio,1152,11,2.93,3443,574,688,482,161,455
19,Nuevo León,002,Agualeguas,9998,Localidades de una vivienda,32,2,*,110,26,21,11,6,7
19,Nuevo León,002,Agualeguas,9999,Localidades de dos viviendas,13,1,*,46,7,7,6,1,3
19,Nuevo León,002,Agualeguas,0001,Agualeguas,664,2,2.98,1995,282,285,287,105,345
19,Nuevo León,002,Agualeguas,0004,Agua Blanca,*,*,*,6,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0009,Tres Hermanos,14,0,4.14,58,9,11,6,7,3
19,Nuevo León,002,Agualeguas,0012,Cieneguitas,18,2,2.71,57,15,18,7,4,6
19,Nuevo León,002,Agualeguas,0017,La Escondida,60,0,2.79,173,38,55,21,3,15
19,Nuevo León,002,Agualeguas,0020,El Maguey,*,*,*,3,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0021,Los Garza,85,0,2.84,244,32,77,52,5,19
19,Nuevo León,002,Agualeguas,0022,La Gloria,*,*,*,11,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0027,Lagunillas (San José Lagunillas),19,1,3,60,20,14,3,2,5
19,Nuevo León,002,Agualeguas,0030,Los Martínez,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0033,El Milagro,*,*,*,5,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0035,El Nogal,19,0,2.89,55,14,20,7,0,2
19,Nuevo León,002,Agualeguas,0036,Los Nogales,106,0,2.84,312,53,78,44,13,34
19,Nuevo León,002,Agualeguas,0037,Ojo de Agua,34,0,2.38,81,27,27,7,2,7
19,Nuevo León,002,Agualeguas,0041,El Papalote,*,*,*,1,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0045,El Prieto,*,*,*,2,*,*,*,*,*
19,Nuevo León,002,Agualeguas,0047,La Purísima,3,0,2,6,1,3,1,0,0
